# Group	 Points	 X-coord	 Y-coord	 Z-coord
1	454	0.175281	0.011148	0
1	455	0.175154	0.011139	0
1	456	0.175027	0.011384	0
1	457	0.1749	0.011502	0
1	458	0.174773	0.011492	0
1	459	0.174646	0.011356	0
1	460	0.174519	0.011347	0
1	461	0.174391	0.011465	0
1	462	0.174264	0.011455	0
1	463	0.174137	0.011573	0
1	464	0.17401	0.011564	0
1	465	0.173883	0.011682	0
1	466	0.173756	0.011673	0
1	467	0.173629	0.011664	0
1	468	0.173502	0.011655	0
1	469	0.173375	0.011646	0
1	470	0.173247	0.011637	0
1	471	0.17312	0.011628	0
1	472	0.172993	0.011746	0
1	473	0.172866	0.011864	0
1	474	0.172739	0.011855	0
1	475	0.172612	0.011973	0
1	476	0.172485	0.012092	0
1	477	0.172358	0.012083	0
1	478	0.172231	0.012074	0
1	479	0.172104	0.012065	0
1	480	0.171976	0.012183	0
1	481	0.171849	0.012302	0
1	482	0.171722	0.012293	0
1	483	0.171595	0.012411	0
1	484	0.171468	0.012529	0
1	485	0.171341	0.012521	0
1	486	0.171214	0.012512	0
1	487	0.171087	0.012503	0
1	488	0.17096	0.012622	0
1	489	0.170832	0.012486	0
1	490	0.170705	0.012732	0
1	491	0.170578	0.012469	0
1	492	0.170451	0.012587	0
1	493	0.170324	0.012452	0
1	494	0.170197	0.013206	0
1	495	0.17007	0.013197	0
1	496	0.169943	0.012553	0
1	497	0.169816	0.01318	0
1	498	0.169688	0.012536	0
1	499	0.169561	0.012401	0
1	500	0.169434	0.012519	0
1	501	0.169307	0.012638	0
1	502	0.16918	0.012375	0
1	503	0.169053	0.012494	0
1	504	0.168926	0.012613	0
1	505	0.168799	0.012732	0
1	506	0.168672	0.01285	0
1	507	0.168545	0.013351	0
1	508	0.168417	0.013342	0
1	509	0.16829	0.013334	0
1	510	0.168163	0.013326	0
1	511	0.168036	0.013318	0
1	512	0.167909	0.013309	0
1	513	0.167782	0.013301	0
1	514	0.167655	0.013293	0
1	515	0.167528	0.012776	0
1	516	0.167401	0.012768	0
1	517	0.167273	0.01276	0
1	518	0.167146	0.013261	0
1	519	0.167019	0.01338	0
1	520	0.166892	0.013499	0
1	521	0.166765	0.013491	0
1	522	0.166638	0.01272	0
1	523	0.166511	0.012712	0
1	524	0.166384	0.012704	0
1	525	0.166257	0.013713	0
1	526	0.166129	0.012815	0
1	527	0.166002	0.01268	0
1	528	0.165875	0.012673	0
1	529	0.165748	0.012665	0
1	530	0.165621	0.012784	0
1	531	0.165494	0.013666	0
1	532	0.165367	0.012641	0
1	533	0.16524	0.012633	0
1	534	0.165113	0.01288	0
1	535	0.164985	0.013889	0
1	536	0.164858	0.014136	0
1	537	0.164731	0.014382	0
1	538	0.164604	0.014501	0
1	539	0.164477	0.013096	0
1	540	0.16435	0.013088	0
1	541	0.164223	0.01308	0
1	542	0.164096	0.0132	0
1	543	0.163969	0.014463	0
1	544	0.163842	0.014583	0
1	545	0.163714	0.013177	0
1	546	0.163587	0.014695	0
1	547	0.16346	0.013035	0
1	548	0.163333	0.013028	0
1	549	0.163206	0.014927	0
1	550	0.163079	0.014919	0
1	551	0.162952	0.013005	0
1	552	0.162825	0.014905	0
1	553	0.162698	0.014897	0
1	554	0.16257	0.015017	0
1	555	0.162443	0.015137	0
1	556	0.162316	0.015256	0
1	557	0.162189	0.015249	0
1	558	0.162062	0.015369	0
1	559	0.161935	0.015362	0
1	560	0.161808	0.015354	0
1	561	0.161681	0.015347	0
1	562	0.161554	0.01534	0
1	563	0.161426	0.015333	0
1	564	0.161299	0.015326	0
1	565	0.161172	0.015446	0
1	566	0.161045	0.015566	0
1	567	0.160918	0.015559	0
1	568	0.160791	0.015679	0
1	569	0.160664	0.015799	0
1	570	0.160537	0.015792	0
1	571	0.16041	0.015785	0
1	572	0.160283	0.015778	0
1	573	0.160155	0.015898	0
1	574	0.160028	0.015891	0
